English	Hoezy	English
Ah	押	to mortgage.
Ah	鴨	a duck.
Ah-koo	阿哥	an older brother.
Ah-theh	押脫	to mortgage.
Ah-°tsi	阿姐	an older sister.
An°	晏	late.
‘Ang-°li	行李	baggage.
An°-hyih-we°	晏歇會	good-by.
Au°-°lau	懊佬	to regret.
Auh	惡	wicked.
Auh-tshauh	齷齪	dirty.
‘A-°ts	鞋子	shoes.
°‘A	也	also.
°‘A-°li	那裏	which.
°‘A-°z	亦是	also.
‘Ah	狹	narrow.
‘Ah-°ts	盒子	a small box.
‘An	鹹	salt (adj.).
‘Au	毫	1⁄10 of a li (in currency).
‘Au-sau°	豪燥	quickly.
°‘Au	下	down.
°‘Au-deu	下頭	below.
°‘Au-kuh-nyoeh	下個月	next month.
°‘Au-le	下來	to come down.
°‘Au-nyoeh	下月	next month.
°‘Au-pen°-nyien	下半年	last half of year.
°‘Au-pen°-nyih	下半日	afternoon.
°‘Au-pen°-nyoeh	下半月	last half month.
°‘An-pen°-ya°	下半夜	last half night.
°Au-°ti	下底	below.
°Au-°ti-deu	下底頭	below.
°‘Au-zen	下船	to go on board a ship.
‘Au°	夏	summer.
‘Auh	學	to learn.
‘Auh-daung	下堂	school.
‘Auh-sang-°ts	學生子	a scholar, a pupil.
‘Aung-dzing	行情	price.
Ba	排	to arrange in order.
°Ba-tse	罷哉	(after verb), gives force of completed action.
°Ba-’veh-tuh	罷弗得	indispensable.
Bak	白	white.
Bak-bak-°li	白白裏	useless, in vain.
Bak-me	白煤	hard coal.
Bak-wo°	白話	to converse.
Ban	爿	a classifier for shops.
Ban°	𨂝	to crawl.
Ban°	辦	to direct, to attend to a matter.
Bang-°yeu	朋友	a friend.
Bang°	碰	to strike against.
Bang°-dzak	捧着	to meet.
Bau	跑	to run.
Bau-le-bau-chi°	跑來跑去	to run about.
°Bau	抱	to carry in the arms.
Bau°	刨	a plane.
Baung-pien	旁邊	by the side of.
°Baung	棒	a cane, a stick.
Be	陪	to accompany, to stay with a person.
Beh-siang°	孛相	to play, to take recreation.
Ben°	伴	to hide.
Ben°-°loong	伴攏	to hide oneself.
Bi-zau°	皮皂	soap.
°Bi-deu	被頭	a quilt, a blanket.
°Bien-°ts	辮子	a queue.
Bien°-taung°	便當	convenient.
Bih	別	other.
Bih-deu	鼻頭	the nose.
Bing	瓶	a bottle.
Bing	平	level.
Bing-foong	屏風	a screen.
Bing-°koo	蘋果	an apple.
Bo	爬	climb.
Bok	薄	thin.
Boo°	步	classifier of carriages.
Boo°	部	classifier for sets of books.
Boo-sah	菩薩	a Buddhist idol.
°Boo-°ts	簿子	a small blank book.
Boong	篷	a sail.
Boong-dzung	塳塵	dust.
Bung-°ts	盆子	a plate.
Cheu	恘	bad.
°Chi	起	to begin.
°Chi	豈	an interrogative particle.
°Chi-deu	起頭	the beginning.
°Chi-le	起來	to arise; expresses action going on.
°Chi-lih	起立	to stand up, standing.
