词条	拼音	分类	释义	例句
太阳	tha55yan21	天文气象		
太阳头里	tha yan deu li	天文气象	太阳照到的地方	倷覅立勒太阳头里呐，啊热箇。
旺太阳	yaon tha yan	天文气象	很强烈的太阳光	
瞎子太阳		天文气象	有较多云彩挡住的太阳，但阳光晒在身上仍很热	~来得个热。
太阳光		天文气象		
阴头里		天文气象	太阳照不到的地方	
天狗吃太阳		天文气象	日蚀	
野太阳吃家太阳		天文气象	日蚀	
月亮	ngeq23lian31	天文气象		
月亮头里		天文气象	月亮照到的地方	
天狗吃月亮		天文气象	月蚀	
野月亮吃家月亮		天文气象	月蚀	
星	sin44	天文气象	星星	
暗星夜		天文气象	没有月亮、星星的黑夜	
天河	thie55ghou21	天文气象	银河	
扫帚星		天文气象	彗星	
大风	dou22fon44	天文气象		
台风	de22fon44	天文气象		
顺风	zen22fon44	天文气象		
顶头风		天文气象		
顶头老逆风		天文气象		
起风	chi41fon34	天文气象		
吹风	tshyu44fon44	天文气象	刮风	
风停则		天文气象	风停了	
风呒不则		天文气象	没风了	
乌云	ou55yun21	天文气象		
雷响	le22shian44	天文气象	①雷，名词：天浪有~；	
雷响	le22shian45	天文气象	②打雷：~则	
空阵头		天文气象	只打雷而没有下雨	
天打	thie55tan21	天文气象	落地雷击中人、畜、建筑物	忤逆爷娘是要~葛。
霍显	hoq55shie52	天文气象	闪电，名词	
雨	yu231	天文气象		
落雨	loq23yu31	天文气象	下雨	
小雨	siau41yu34	天文气象		
毛毛雨		天文气象		
大雨	dou22yu44	天文气象		
阵头雨		天文气象	雷阵雨	
雨停则		天文气象	雨停了	
雨弗落则		天文气象	不下雨了	
落像则		天文气象	从下小雨变成下大雨	
鲎	heu523	天文气象	虹	
沰	toq43	天文气象	淋	衣裳~潮则。（衣服被雨淋湿了。）
冰	pin44	天文气象		
结冰	ciq55pin34	天文气象		
凌堂	lin22daon44	天文气象	挂在屋檐下的冰锥	
冰排	pin55ba21	天文气象	冰雹	
雪	siq43	天文气象		
落雪	loq23siq55	天文气象	下雪	
大雪	dou22siq44	天文气象		
雪珠	siq55tsyu34	天文气象		
雨夹雪		天文气象		
春雪	tshen55siq21	天文气象	春天下的雪	
雪烊则		天文气象	雪化了	
露水	lou22syu44	天文气象		
霜	saon44	天文气象		
霜打	saon55tan21	天文气象	农作物受霜侵袭	
迷露	mi22lou44	天文气象	雾	
天气	thie55chi21	天文气象		
好天	hau41thie34	天文气象	晴天	拣仔好日呒不好天。
阴子天		天文气象	阴天	
天热	thie44gniq23	天文气象		
天冷	thie44lan231	天文气象		
风凉	fon55lian21	天文气象	凉快	
暖热	noe22gniq44	天文气象	暖和	
太阳旺		天文气象	太阳光强	
热显	gniq23shie31	天文气象	太阳光带来的热浪	哀只房间西晒哀，～弗得了。
伏里		天文气象	伏天	
头伏	deu22voq44	天文气象		
二伏	gni22voq44	天文气象	中伏	
大伏	da22voq44	天文气象	中伏	
末伏	meq23voq55	天文气象		
发冷讯		天文气象	寒流来到	明朝要~则。
拗春冷		天文气象	倒春寒	
连底冻		天文气象	①河里连河底都上冻，是最冷的天气；	
连底冻		天文气象	②早上不起床，继续睡，直睡到晚上又该睡觉时，多在冬天很冷的时候会如此	
山	se44	地理方位		
半山腰		地理方位		
山脚下		地理方位		
山涧水		地理方位		
田	die223	地理方位	水田	
稻田	dau22die44	地理方位	专种水稻的田	
菜地	tshe55di21	地理方位		
河	ghou223	地理方位		
浜	pan44	地理方位	小河	
水凼	syu41daon34	地理方位	地面积水	
阴沟	in55keu21	地理方位	道路上排雨水或污水的沟，不露出地面	
河滩浪		地理方位	河边，多指有人工砌成河埠的河岸	俚辣～汏衣裳。
水	syu51	地理方位		
天落水		地理方位	积存的雨水	
橑檐头水		地理方位	下雨时从屋檐上滴下来的水	
发大水		地理方位	水灾	
冷水	lan22syu44	地理方位	凉水	
温吞水		地理方位	温水	
热水	gniq23syu31	地理方位		
滚水	kun41syu34	地理方位	开水	
开水<新>	khe44syu21	地理方位		
石头	zaq23deu31	地理方位		
小石头		地理方位		
石卵子		地理方位	鹅卵石	
沙	so44	地理方位	沙子	
沙泥	so55gni21	地理方位	小沙粒儿	眼睛里有粒~
坯	phe44	地理方位	各种坯子的总称	
土坯	thou41phe34	地理方位		
砖坯	tsoe55phe21	地理方位		
砖头	tsoe55deu21	地理方位	砖	
碎砖头		地理方位	碎砖	
方砖	faon55tsoe21	地理方位	多铺设在传统民居的客厅地面	
瓦爿	ngo22be44	地理方位	瓦	
灰尘	hue55zen21	地理方位	灰尘总称	
塳尘	bon22zen44	地理方位	室内各处的灰尘	
檐尘	yie22zen44	地理方位	室内顶部的灰尘	
烂泥	le22gni44	地理方位	泥土，包括干的和湿的	
金子	cin55tsy21	地理方位		
银子	gnin22tsy44	地理方位		
铜	don223	地理方位		
铁	thiq43	地理方位		
锡	siq43	地理方位		
洋铅皮		地理方位	镀锡的体批	
洋油	yan22yeu44	地理方位	煤油	
石灰	zaq23hue31	地理方位		
梗灰	kan41hue34	地理方位	用作干燥剂的石灰	
水泥	syu41gni34	地理方位		
水门汀		地理方位	做成建筑物的水泥	
吸铁石		地理方位	磁铁	
玉	gnioq23	地理方位		
夫炭	fu55the21	地理方位	一种木炭	
柏油	paq55yeu34	地理方位		
桐油	don22yeu44	地理方位		
煤炭	me22the44	地理方位	煤渣，可用来铺路	
村庄	tshen55tsaon21	地理方位		
村	tshen44	地理方位		
路	lou231	地理方位	城里最宽的一类道路	人民~
街	ka44	地理方位	城里较宽的一类道路，两边一般有商店	观前~
巷	ghaon231	地理方位	比较窄的道路，两边一般都是住家，没有商店，是苏州城区最常见的道路通名	大井~
弄堂	lon22daon44	地理方位	最窄的道路，只有住家，没有商店	
城门洞		地理方位		
阎王路		地理方位	特别不好走的路	
场化	zan22ho44	地理方位		
地方	di22faon44	地理方位		
上头	zaon22deu44	地理方位		
下头	gho22deu44	地理方位		
济面	tsi55mie21	地理方位	左边	
左面<新>	tsou55mie21	地理方位	左边	
右面	yeu22mie44	地理方位	右边	
横多里		地理方位	横的方向	
当中	taon55tson21	地理方位	中间	
地当中		地理方位	空间的中心位置，多指室内的	
内当中		地理方位	其中	~有弗少缠弯里曲勒海。（其中有很多曲折内情呢。）
前头	zie22deu44	地理方位		
后头	gheu22deu44	地理方位		
前脚...后脚..	zie22ciaq44…gheu22ciaq44	地理方位	两件事前后紧连着发生	倷前脚走俚后脚就来则。（你刚走他就来了。）
末脚	meq23ciaq55	地理方位	末尾	排队排辣个~。
屁股头		地理方位	末尾	
对过	te55kou21	地理方位	对面	
门前	men22zie44	地理方位	面前	
眼门前		地理方位	跟前儿	
背后头		地理方位	背后	
阴山背后		地理方位	比喻常年找不到太阳地方或最冷僻的地方	
世界天浪		地理方位	世界上、天下	~朆看见过哀种事体！
里向	li22shian44	地理方位	里头	
里势	li22syu44	地理方位	里头	
外头	nga22deu44	地理方位		
外势<老>	nga22syu44	地理方位		
边浪	pie55laon21	地理方位	旁边儿	
边边浪		地理方位	旁边儿	
边浪向		地理方位	旁边儿	
近段	jin22doe44	地理方位	附近	
转角嘴		地理方位	拐角处	
天浪	thie55laon21	地理方位	天上	
地浪	di22laon44	地理方位	①地下；	当心特勒~。（当心掉地下！）
地浪	di22laon45	地理方位	②地上	~忒龌龊。（地上太脏。）
台子浪		地理方位	桌上	
城里向		地理方位		
城里	zen22li44	地理方位		
乡下头		地理方位		
乡下	shian55gho21	地理方位		
心里向		地理方位		
心里	sin55li21	地理方位		
手里向		地理方位		
手里	seu41li34	地理方位		
路边浪		地理方位	路边	
水里向		地理方位		
水里	syu41li34	地理方位		
山浪	se55laon21	地理方位	上上	
路浪	lou22laon44	地理方位	路上	
街浪	ka55laon21	地理方位	街上	
镇浪	tsen55laon21	地理方位		
墙头浪		地理方位	墙上	
车子浪		地理方位	车上	
门口头		地理方位	门口	
楼脚下头		地理方位	楼脚下	
脚底下		地理方位		
床底下		地理方位		
碗底坨		地理方位	碗底儿	
望里向走		地理方位	望里走	
望外头走		地理方位	望外走	
望前头走		地理方位	望前走	
回头走		地理方位		
春天	tshen55thie21	节令时间		
热天	gniq23thie31	节令时间	夏天	
秋天	tsheu55thie21	节令时间		
冷天	lan22thie44	节令时间	冬天	
打春	tan41tshen34	节令时间	立春	
历本	liq23pen31	节令时间	历书	
月份牌		节令时间	旧时挂在墙上的日历，每天一张	
大年夜		节令时间	除夕	
小年夜		节令时间	除夕的前一夜	
年夜头		节令时间	岁末（农历）	
年初一		节令时间		
拜年	pa52gnie223	节令时间		
正月半		节令时间	农历正月十五	
清明节		节令时间		
寒食节		节令时间	清明前一天	
端午节		节令时间		
八月半		节令时间		
中秋节		节令时间		
七月初七		节令时间		
七月半		节令时间	鬼节，祭祖的日子	
重阳节		节令时间		
冬至	ton55tsyu21	节令时间	苏州俗谚“冬至大如年“，是重要节日	
今年	cin55gnie21	节令时间		
旧年	jieu22gnie44	节令时间	去年	
开年	khe55gnie21	节令时间	明年	
前年子		节令时间	前年	
大前年子		节令时间	大前年	
往年	uaon55gnie21	节令时间		
后年	gheu24gnie21	节令时间		
大后年		节令时间		
闰年	zen22gnie44	节令时间		
年初头浪		节令时间	年初（农历）	
"年底 "	gnie22ti44	节令时间		
一个月		节令时间		
一个号头		节令时间		
软热<老>	ngoe22gniq44	节令时间	年月的月	住仔三个~
月	ngeq23	节令时间	年月的月	
号头	ghau22deu44	节令时间	年月的月	
大月	dou22ngeq44	节令时间	农历三十天的月份	
小月	siau41ngeq34	节令时间	农历二十九天的月份	
正月	tsen55ngeq21	节令时间	农历一月	
闰月	zen22ngeq44	节令时间		
闰几月		节令时间	如闰八月、闰六月	
着上个月		节令时间	三月的时候说一月	
着上个号头		节令时间	三月的时候说一月	
上个月		节令时间		
上个号头		节令时间		
哀个月		节令时间	这个月	
哀个号头		节令时间	这个月	
下个月		节令时间		
下个号头		节令时间		
号头浪		节令时间	阳历的月初	
月半	ngeq23poe31	节令时间	农历每个月的第十五天	
月底	ngeq23ti31	节令时间	多指阳历月底	
一个礼拜		节令时间		
日脚		节令时间	日子	
今朝	cin55tsau21	节令时间	今天	
今朝点		节令时间		
昨日		节令时间	昨天	
昨日搭		节令时间		
昨日子搭		节令时间		
明朝	men22tsau44	节令时间	明天	
后日	gheu24gniq21	节令时间	后天	
前日	zie22gniq44	节令时间		
前日子		节令时间		
前日子搭		节令时间		
大前日		节令时间	大前天	
大后日		节令时间	大后天	
搿日		节令时间	那天，某一天	
搿日子		节令时间	那天，某一天	
搿日子搭		节令时间	那天，某一天	
礼拜日		节令时间		
礼拜	li24pa21	节令时间		
一日天		节令时间	一天	
大半日		节令时间		
半日天		节令时间	半天	
上半日		节令时间	上午	
上昼<老>	zaon24tseu21	节令时间	上午	
上晚昼		节令时间	上午	
中浪快		节令时间	将近中午	
中浪	tson55laon21	节令时间	中午	
中昼心里		节令时间	正午	
下半日		节令时间	下午	
下昼<老>	gho24tseu21	节令时间	下午	
下晚昼		节令时间	下午	
半夜三更		节令时间		
半夜把		节令时间		
大清老早		节令时间	大清早	
天亮快		节令时间	天快亮的时候	
朝浪	tsau55laon21	节令时间	早晨	
日里	gniq23li31	节令时间	白天	
夜快	ya41khua34	节令时间	傍晚	
垂夜快		节令时间	傍晚	
黄昏	waon22huen44	节令时间	晚上七点到九点的时候	
黄昏头		节令时间	晚上七点到九点的时候	
夜里	ya55li21	节令时间	从天黑到天亮的一段时间	
夜头	ya55deu21	节令时间	从天黑到天亮的一段时间	
一夜天		节令时间	整夜	
半夜把		节令时间	半夜	~就要起来，实头吃弗消（半夜就要起床，真受不了。）
上半夜		节令时间		
下半夜		节令时间		
阴历	in55liq21	节令时间		
阳历	yan22liq44	节令时间		
日朝	gniq23tsau31	节令时间	每天	
日逐	gniq23zoq55	节令时间	每天	
号	ghau231	节令时间	阳历年月日的日	今朝是三~。
辰光	zen22kuaon44	节令时间	时间、时候	~蛮快（时间很快。）|啥~则？（什么时候了？）
一点敲过		节令时间	一点刚过，”一点“可以是其他钟点	
老底子		节令时间	原先	
以前<新>	i55zie21	节令时间	原先	
老法头		节令时间	比”以前“更早	
从前	zon24zie21	节令时间	比”以前“更早	
前番	zie22fe44	节令时间	前一次	~我来过一埭（前一次我来过一趟。）
前伐<老>	zie22vaeq44	节令时间	前一次	
先起头		节令时间	早先	
上上来		节令时间	最初	
上勒浪		节令时间	最初	
现在	yie22ze44	节令时间		
姑歇<老>	kou55shiq21	节令时间		
姑掀<更老>	kou55shie21	节令时间		
目前目后		节令时间	正说话的时刻	俚~就要来则。
后手来		节令时间		
后来	gheu22le44	节令时间		
过后	kou55gheu21	节令时间	后来（指过去某事之后。）	
以后	i55gheu21	节令时间		
一歇	iq55shiq55	节令时间	①一会儿；	坐脱~。
一歇	iq55shiq56	节令时间	②很久	去仔~哉惑（去了很久啦。）
一掀<更老>	iq55shie34	节令时间	①一会儿；	
一掀<更老>	iq55shie35	节令时间	②很久	
一歇歇		节令时间	一小会儿，比”一歇“时间短	
晏歇	e41shiq34	节令时间	待会儿	~再讲。
等歇	ten52shiq21	节令时间	待会儿	
阿掀点		节令时间	待会儿	
此番	tshy55fe21	节令时间	这一回	~我弗去则。
三日两头		节令时间	常常	
日常世间		节令时间	一天又一天的日常生活	每日要五块，~下来匣要弗少铜钿得来。（每天要五元，长期下来也要不少钱呢。）
插秧	tshaeq55ian34	工业农业		
罱河泥		工业农业	一种积肥方法，用工具在河底夹取和你	
耘稻	yun223dau231	工业农业	跪在稻田里用双手除草	
耥稻	thaon52dau231	工业农业	用耥靶在稻田里除草	
斫稻	tsoq43dau51	工业农业	割稻	
斫麦	tsoq43za223	工业农业	割麦	
斫草	tsoq43tshau51	工业农业	割草	
斫柴	tsoq43za223	工业农业	砍柴	
掼稻	gue231dau231	工业农业	为稻子人工脱粒	
掼麦	gue231maq23	工业农业	为麦子人工脱粒	
轧米	gaeq23mi231	工业农业	碾米	
拔草	baeq23tshau51	工业农业		
稻穗头		工业农业	稻穗	
坌地	ben231di231	工业农业	用锄头等农具翻土	
垩田	o52di223	工业农业	施肥	
炕缸	khan55kaon21	工业农业	农村存放粪便的大缸	
猪窠灰		工业农业	猪粪肥	
捉狗屎		工业农业	拾粪	
肥田粉		工业农业	旧时常用的一种化肥	
浇水	ciau44syu51	工业农业		
车水	tsho44syu51	工业农业	用水车灌溉农田	
拎水	'''lin55syu21'	工业农业	提水，多为从河里取水	
井	tsin51	工业农业		
吊水	tiau52syu51	工业农业	从井里取水	
锄头	zy22deu44	工业农业	最重要的的农具，松土、锄草用	
铁搭	thiq55taeq55	工业农业	锄地、碎土的农具	
镰刀	lie22tau44	工业农业		
䤿	ciq43	工业农业	一种镰刀	
粪桶	fen55don21	工业农业	挑粪用的木桶	
水车	syu41tsho34	工业农业		
犁	li223	工业农业		
栈条	ze22tiau44	工业农业	用竹篾编成的长席，用来围囤粮食	
