参考汉字	参考读音	简要解释
佗	dou13	他
我俚	ngou13li21	①我们（不包括谈话的对方）：~勿高兴搭[tah]你一道孛相[beh sian]。②我的，我们的（不包括谈话的对方）：~爸爸去上班咧。
倷伲	na13nyi21	①我们（包括谈话的对方）：~一道去看电影吧。②我的，我们的（包括谈话的对方）：~爷爷生病咧。
倷俚	na13li21	见na nyi
你俚	nyi13li21	①你们：~去问问好咧。②你的，你们的：~厂倒闭咧。
佗俚	dou13li21	①他们：~勿会帮你个。②他的，他们的：~爷爷今年过八十岁。
伊	i44	这：~个[这个]/~搭[这里]/~种[这种]。
过[记音]	kou44	那：~个[那个]/~搭[那里]/~种[那种]。
敖[记音]	'''ngau44'	①这么，那么：你个人哪会~坏啊？②这样（做）：你就~做，不会错个。
个么	keh5meh5	那么：~你就去问问佗。
啥	sa323	什么：~事体啊？
哪会	na13we21	怎么会：~事体啊，~全部是水啊？
呒不	m21peh4	①未曾；尚未：我~去问佗。天~黑的。②表示“领有、具有”或“存在”的否定：我~伊件衣裳个。房子里~人。③不及；不够：我~佗高。~三天佗就转去咧。④不见，丢，掉：我个书包~咧。
勿	feh5	不：我~想去上课。
覅	fiau44	不要，“勿要”的合音：我~你个钞票。
朆	fen44	未曾，尚未，“勿曾”的合音：我~拿你个物事[meh zy]。
个	keh5	①结构助词，类似于“的”：伊个是我~书。卖茶叶蛋~。②语气词，表示肯定语气：我勿会骗你~。
搭[记音]	tah5	①和：我~佗去个。②替：佗~我买着一件衣裳。③给：你~我过来。
则[记音]	tseh5	①表示动作完成的助词，相当于“了”：吃~饭再看书。②表示动作的持续，类似于“着”：坐~总归比立勒娘[leh nyan]适意。
到[记音]	tau34	语气词，表示感叹：你漂亮~。
萨[记音]	sah5	①语气词，表示疑问：你啊是佗儿子~？②语气词，表示反问：你哪会是敖种人~？③表示歧视语气：你过来~。
啘	ueh5	语气词，表示肯定，用法似“啊”但语气更强：我去个~。
来勒[记音]	le13leh21	①动词，在：我~厂里瓦。②介词，表示时间或空间，或引出对象：~我小辰光，饭也[gha]吃勿饱。我~北京搭你写信啘。~伊件事体上头，你应该听你爷个闲话。
勒娘[记音]	leh13nyan21	①表示动作完成后新状态的持续，表示存在或持有，类似于“在那儿”：菜烧好~，饿就去吃。②表示持续态，相当于“着”：我欢喜坐~个，勿欢喜立个。
拨[记音]	peh5	①被：我~佗打着一记。②给予：我~佗一百块钞票。
落	loh13	①用在动词后面，表示动作的结果，类似于“掉”：菜已经卖~咧。②后置于动词，表示动作性质变化的实现：我困~一歇再去。③结构助词，起强调作用：佗讲~你几声么应该个啘。④掉，丢失：我~落一支钢笔。
事体	zy21thi44	事情。
闲话	ghe13wu21	①说的话：我听见你讲~咧。②闲言闲语：你~金[cin]多的，少讲点。
孛相[记音]	beh21sian44	玩。
金[记音]	cin44	特别，很，真，表示程度深：你个人~聪明的。
忒以	theh21i44	太：饭~多咧，帮我减落点。
忒	theh5	见theh i
太阳	tha44yan21	
日头	nyih21dei44	见tha yan。~蛮旺个喏。
太阳底下	tha44yan44ti44wu21	
太阳地里	tha44yan44di44li21	太阳照到的地方：到~去立立。
日头里	nyih21dei44li21	见tha yan di li。
阴头里	in32dei21li23	太阳照不到的地方：快点到~来，太阳忒结棍[cih kuen]。
阴山背后	in32se21pe21ghei23	照不到阳光的地方。
向阳	shian44yan21	
背阴	pe21in44	
阳光	yan13kuaon21	
太阳光	tha44yan44kuaon21	见yan kuaon。
西晒太阳	si32sa21tha21yan23	太阳落山时照射在身上或者物体上的阳光：伊只房间是~，热天特别热。
热掀[记音]	nyih21shie44	太阳照在地面或其他物品上反射的热量：伊个~结棍[cih kuen]的，我吃勿消。
天狗吃太阳	thie32kei23 chih5 tha44yan21	日食。
日晒夜露	nyih32sa21ya21lou23	日夜放在露天：你个咸菜~，勿晓得收进来个啊。
太阳眼镜	tha44yan44nge44cin21	墨镜。
月亮	nyuih32lian23	
亮月	lian21nyuih4	见nyuih lian。
月光	nyuih21kuaon44	
月亮地里	nyuih32lian21di21li23	月光照到的地方。
天狗吃月亮	thie32kei23 chih5 nyuih32lian23	月食。
星星	sin32sin23	
星	sin44	
天河	thie32ghou23	银河。
移星	yi13sin21	流星。
扫帚星	sau44cieu44sin21	彗星。
黄昏星	waon13huen44sin21	金星。
风	fon44	
大风	dou21fon44	
阵头风	zen21dei44fon21	阵风。
台风	de13fon21	台风。
起风	chi33fon44	
刮风	kuah21fon44	
顶头风	tin33dei44fon44	逆风。
顺风	zen21fon44	
邪风	zia21fon44	
鬼头风	ciu33dei44fon44	见zia fon。
旋风	zie13fon21	
龙挂	lon13ko21	龙卷风。
东风头	ton32fon21dei23	
西风头	si32fon21dei23	
南风头	noe13fon44dei21	
北风头	poh32fon44dei23	
乘风凉	zen13fon44lian21	乘凉：吃好饭~。
穿堂风	tshoe32daon21fon23	
风头里	fon32dei21li23	风中：覅立勒~。
云	yuin113	
云头	yuin13dei21	成堆的云层。
云爿	yuin13be21	云朵。
缸爿云	kaon32be21yuin23	鱼鳞状云。
阵头	zen21dei44	雷。
阵头响	zen21dei44shian21	打雷：~咧，衣裳收进来吧。
空阵头	khon32zen21dei23	光打雷不下雨：光光里~，朆落雨。
天打	thie32tan23	雷击：你老是坏事，要~咧。
霍险[记音]	hoh32shie23	闪电：刚交[kaon ciau]一个~蛮吓人个。
天开眼	thie32khe21nge23	①一种罕见的天象，即云层突然开裂，裂处光亮，轰然有声，霎时即闭。②指老天有眼，有所保佑，或使恶人得到报应。
天火烧	thie32hou21sau23	因雷电等自然原因引起的火灾。
雨	yu13	
雨点子	yu21tie44tseh21	
雨脚	yu21ciah4	及地的雨丝。
毛毛雨	mau13mau44yu21	
朦松雨	mon13son44yu21	细雨。
长脚雨	zan13ciah4yu21	雨下得时间长。
阵头雨	zen21dei44yu21	阵雨。
雷阵雨	le13zen44yu21	
暴雨	bau21yu44	
落雨	loh21yu44	下雨：~咧，快点收衣裳。
沰雨	toh5yu	淋雨：撑好伞，覅沰着雨。
雨停咧	yu13 din21lih4	雨停了。
雪	sih5	
雨夹雪	yu21kah4sih21	
雪珠珠	sih32tsyu21tsyu23	雪珠子。
雪花	sih21hu44	
落雪	loh21sih4	下雪：~狗欢喜。
雪停咧	sih5 din21lih4	
烊雪	yan13 sih5	化雪。
雪烊咧	sih5 yan21lih4	雪化了。
冰	pin44	
结冰	cih21pin44	
连底冻	lie13ti44ton21	天气寒冷以至河里或水塘里的水全部结冰。
凌荡	lin13daon21	挂在屋檐前的冰锥。
冰雹	pin32bau23	
霜	saon44	
打霜	ta33saon44	
迷露	mi21lou44	雾：~重的，出去开车当心点。
露水	lou21syu44	
下露水	wu13 lou21syu44	
露水重	lou21syu44 zon13	
鲎	hei44	虹。
天气	thie32chi23	
变天	pie44thie21	
天好	thie32hau23/thie44 hau323	天气晴朗：~咧，衣裳晾出去吧。
